季節,詳細季節,親季語,親季語よみがな,子季語,文字数,表示用子季語,季語の説明,分類
haru,三春,春光,しゅんこう,春色,2,,春の明るく輝かしい日差し、または春の美しい景色のこと。万物を生き生きと照らし出す春の光の美しさを讃える。,天文
haru,三春,春光,しゅんこう,春望,2,,春の明るく輝かしい日差し、または春の美しい景色のこと。万物を生き生きと照らし出す春の光の美しさを讃える。,天文
haru,三春,春光,しゅんこう,春の匂,3,,春の明るく輝かしい日差し、または春の美しい景色のこと。万物を生き生きと照らし出す春の光の美しさを讃える。,天文
haru,三春,春光,しゅんこう,春景色,3,,春の明るく輝かしい日差し、または春の美しい景色のこと。万物を生き生きと照らし出す春の光の美しさを讃える。,天文
haru,三春,春光,しゅんこう,春景,2,,春の明るく輝かしい日差し、または春の美しい景色のこと。万物を生き生きと照らし出す春の光の美しさを讃える。,天文
haru,三春,春光,しゅんこう,春の光,3,,春の明るく輝かしい日差し、または春の美しい景色のこと。万物を生き生きと照らし出す春の光の美しさを讃える。,天文
haru,三春,春塵,しゅんじん,春塵,2,春の塵、春埃、黄塵、砂あらし,春風によって舞い上がる土埃や砂煙。雪解け後の乾燥した大地を強い春風が吹き抜ける乾いた季節感を表す。,天文
haru,三春,春塵,しゅんじん,春埃,2,,春風によって舞い上がる土埃や砂煙。雪解け後の乾燥した大地を強い春風が吹き抜ける乾いた季節感を表す。,天文
haru,三春,春塵,しゅんじん,黄塵,2,,春風によって舞い上がる土埃や砂煙。雪解け後の乾燥した大地を強い春風が吹き抜ける乾いた季節感を表す。,天文
haru,三春,春塵,しゅんじん,砂あらし,4,,春風によって舞い上がる土埃や砂煙。雪解け後の乾燥した大地を強い春風が吹き抜ける乾いた季節感を表す。,天文
haru,三春,春霖,しゅんりん,春霖,2,春の長雨/春霖雨,仲春から晩春にかけて降る長雨のこと。霖とは長雨をさす。長雨とはいえ秋霖と違い明るい感じをもつ。春の訪れに草木が成長し、花の蕾も膨らむ。,天文
haru,三春,春霖,しゅんりん,春霖雨,3,,仲春から晩春にかけて降る長雨のこと。霖とは長雨をさす。長雨とはいえ秋霖と違い明るい感じをもつ。春の訪れに草木が成長し、花の蕾も膨らむ。,天文
haru,三春,春霖,しゅんりん,春の長雨,4,,仲春から晩春にかけて降る長雨のこと。霖とは長雨をさす。長雨とはいえ秋霖と違い明るい感じをもつ。春の訪れに草木が成長し、花の蕾も膨らむ。,天文
haru,三春,霾,つちふる,霾,1,黄沙、黄塵万丈、霾、蒙古風、霾天、霾風、つちかぜ、霾晦、つちぐもり、よなぼこり、胡沙来る、胡沙荒る,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,つちふる,4,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,霾風,2,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,霾晦,2,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,黄沙,2,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,黄砂,2,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,黄塵万丈,4,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,霾,1,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,蒙古風,3,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,霾天,2,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,霾風,2,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,つちかぜ,4,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,霾晦,2,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,つちぐもり,5,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,よなぼこり,5,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,よなぐもり,5,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,胡沙来る,4,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,霾,つちふる,胡沙荒る,4,,春、空から砂塵が降ること。中国大陸の黄河流域の砂や土が春風に舞い上がり、海を越えて日本列島に降りしきる。多いときには遠くが黄色く霞んで見え、地上が黄色に染まることもある。,天文
haru,三春,斑雪,はだれ,斑雪,2,はだら/はだれ雪/はだら雪/まだら雪/はだれ野/斑雪,山降り積もった雪が消え残りまだらになった状態。または多く積もるほど降らない春の雪のことをいう。,天文
haru,三春,斑雪,はだれ,はだれ,3,,山降り積もった雪が消え残りまだらになった状態。または多く積もるほど降らない春の雪のことをいう。,天文
haru,三春,斑雪,はだれ,はだら雪,4,,山降り積もった雪が消え残りまだらになった状態。または多く積もるほど降らない春の雪のことをいう。,天文
haru,三春,斑雪,はだれ,はだら,3,,山降り積もった雪が消え残りまだらになった状態。または多く積もるほど降らない春の雪のことをいう。,天文
haru,三春,斑雪,はだれ,はだれ雪,4,,山降り積もった雪が消え残りまだらになった状態。または多く積もるほど降らない春の雪のことをいう。,天文
haru,三春,斑雪,はだれ,まだら雪,4,,山降り積もった雪が消え残りまだらになった状態。または多く積もるほど降らない春の雪のことをいう。,天文
haru,三春,斑雪,はだれ,はだれ野,4,,山降り積もった雪が消え残りまだらになった状態。または多く積もるほど降らない春の雪のことをいう。,天文
haru,三春,斑雪,はだれ,斑雪,2,,山降り積もった雪が消え残りまだらになった状態。または多く積もるほど降らない春の雪のことをいう。,天文
